question,context
How can a mosaic be protected and conserved for the long term?,"an in situ mosaic on its original bedding can be protected and conserved for the longterm by reburial, while a mosaic relaid on reinforced cement cannot"
What is an alternative for in situ mosaics?,"the other option for in situ mosaics is to protect and present them under a new shelter construction (see gionata rizzi, “sheltering the mosaics of piazza armerina: issues of conservation and preservation” in heritage, conservation and archaeology), however this option is much more expensive"
Are the majority of mosaics on sites protected by shelters or the public?,"in situ mosaics will not necessarily survive in the longterm in the open air, even if provided with continual maintenance. the artistic and historical value of some mosaics on sites certainly merit protection by shelters and presentation to the public, but the majority of mosaics on sites do not"
a recent assessment of mosaic reburials in tunisia showed that a few centimeters of,this does not imply that they should be left exposed until they are either beyond repair or have become a loose pile of tesserae. a recent assessment of mosaic reburials in tunisia has shown that just a few centimeters of sand placed over a mosaic can prevent significant deterioration of a mosaic
"the deeper the reburial fill covering, the more protective and stable the created environment will","the deeper the reburial fill covering, the more protective and stable the created environment will be for the mosaic, but with a very limited budget, the slow destruction of mosaics through exposure to the elements can be avoided even with very shallow reburials"
What is the source of most of the deteriorations of archaeological sites?,"weathering is the source of most of the deterioration of archaeological sites. wind, rain, freezethaw, and evaporation are extremely common and can cause erosion. natural disasters, such as floods, fires, earthquakes, and volcanic eruptions, can cause the complete destruction of a site"
Which is the most effective way to protect archaeological sites from natural disasters?,"natural disasters, such as floods, fires, earthquakes, and volcanic eruptions, can cause the complete destruction of a site.[5] the most effective way to protect archaeological sites from these larger events is to formulate a risk management plan"
What is the most effective way to protect archaeological sites from larger events?,[5] the most effective way to protect archaeological sites from these larger events is to formulate a risk management plan. archaeologists and conservators should assess threats to the site and determine material susceptibility
What are two things that change the frequency of heat waves?,"climate change climate projections also show that changes in rainfall (intensity and frequency), increases in temperature and frequency of heatwaves, rising sea levels and groundwater fluctuations, warmer seas and ocean acidification will also result in changes to flora and fauna, ground conditions (on and below the surface) will affect archaeological deposits and structures"
Which of the hot sands of egypt is an example of dry preservation?,[6] human responses to the climate crisis also impact archaeological sites.dry preservation  climates or environments that are arid and lack moisture provide perfect conditions for dry preservation. the hot sands of egypt are perhaps the most common example of this
Where was the lady of dai buried?,"the hot sands of egypt are perhaps the most common example of this. dry does not always need to be hot though, as can be seen by the airtight coffin that preserved the lady of dai in china"
What was preserved in china?,"dry does not always need to be hot though, as can be seen by the airtight coffin that preserved the lady of dai in china.  without moisture entering the environment, bacteria and microorganisms are not able to flourish and begin their work on decomposing organic material"
How long does it take to thaw?,"cold preservation similar to our own refrigeration system, freezing organic material can essentially keep a moment in time locked away until thawing occurs"
What is the name of the man that was pulled from the tundra?,"the arctic offers a great deal of unlocked archaeological evidence, and has proven to preserve some extraordinary things: the ötzi man, for example, or the immaculate woolly mammoths pulled from the tundra"
What is so well preserved that archaeologists can see it?,"flesh and skin are so well preserved, that archaeologists can see tattoos, as well as decipher a plethora of vital information regarding daily life"
waterlogging is an example of what type of archaeology?,"wet (waterlogged) preservation if wetland archaeology weren’t as expensive as it was, it would probably be one of the most popular forms of excavation as it can preserve the most organic material. submersion in a lake, bog, swamp, etc. essentially creates an anoxic environment for the artefact"
can bacteria survive in an anoxic environment?,"submersion in a lake, bog, swamp, etc. essentially creates an anoxic environment for the artefact. without oxygen, bacteria cannot grow or feed on the organic material, leaving it essentially untouched until it is uncovered by excavation"
What is vital for tree ring dating timelines?,"without oxygen, bacteria cannot grow or feed on the organic material, leaving it essentially untouched until it is uncovered by excavation.  bog bodies are an example of famous finds in waterlogged environments. waterlogged archaeological wood is also vital for tree ring dating timelines"
can you build a tree ring from a waterlogged environment?,bog bodies are an example of famous finds in waterlogged environments. waterlogged archaeological wood is also vital for tree ring dating timelines. the main concern lies with removal from the wet environment as it immediately begins to dry out and degrade
the main concern with removal from the wet environment is that it begins to what?,the main concern lies with removal from the wet environment as it immediately begins to dry out and degrade. careful attention must be paid to wet finds and they must be conserved accordingly
the damage generated by the growth and/or metabolic activities of organisms on various substrates is,careful attention must be paid to wet finds and they must be conserved accordingly.biodeterioration is a type of damage generated by the growth and/or metabolic activities of organisms on various substrates
What is the process by which living organisms are the cause of thestructural loss of quality,"as defined by hueck [1], biodeterioration is “any undesirable change in the properties of a material caused by the vital activities of organisms”, or, as defined by rose [2], it is “the process by which living organisms are the cause of the [structural] loss of quality and, consequently, of value”"
Biodeterioration is the concept of what?,"this definition separates the concept of biodeterioration from cases of wear and corrosion involving undesirable changes in the properties of a material caused by mechanical, physical, and chemical influences [3]"
What has become a matter of concern for the scientific community?,"historical buildings and stone monuments are the maximum expression of human heritage and, being subject to deterioration, their conservation has become a matter of concern for the scientific community to ensure the identity and cultural continuity of humanity [4,5]"
What is necessary to establish the type of interaction that occurs with material and to evaluate the cause,"therefore, understanding the physiological and morphological characteristics of deteriogenic organisms, such as algae, fungi, lichens, mosses, and vascular plants, is necessary to establish the type of interaction that occurs with the material and to evaluate the cause–effect of the deteriorating action of a specific biological agent [6]"
How is bioreceptivity defined?,"the colonization of stone monuments by an organism also depends on the chemical–physical properties of a material, giving rise to a particular susceptibility to colonization, defined as bioreceptivity, which is based on the surface roughness, porosity, exposure, and inclination of the wall [5,7,8,9]"
What are the building materials more or less bioreceptive than?,"obviously, the building materials are more or less bioreceptive and therefore subject in different ways to biological degradation"
What conditions can affect the stone surfaces of monuments and works of art?,"environmental conditions such as moisture, wind, and temperature can play a crucial role in the colonization and establishment of living communities that can affect the stone surfaces of monuments and works of art"
"as the process begins, what begins to colonize the area?","as the alteration processes proceed, living organisms begin to colonize the area and so the phenomenon of biodeterioration takes place [10]"
Many authors have reported that microorganisms can play a significant role in what?,"several authors have reported that microorganisms can play a significant role in all rock deterioration processes, developing on the stone surface even when no organic matter is present [11]"
Which organisms are the first colonizers?,"algae and cyanobacteria are usually the first colonizers due to their limited water demands, then lichens follow, which are highly resistant to drying and high temperatures, and fungi, which cause alterations (e.g"
What are two things that are difficult to identify by direct observation?,"g., stains and loss of cohesion) that are difficult to identify by direct observation [12,13]. with a persistent deteriogenic action of environmental agents and microorganisms, the colonization of buildings by vascular plants is favored and increased"
"is weathering a combination of geochemical, geochemical and biological processes?","deterioration occurs after a strong alteration due to weathering and aging of stone materials. weathering is a combination of geochemical, geophysical, and biological processes responsible for the alteration of source rocks"
How are rock masses eroded?,"physically, rock masses are eroded from an overlying rock resulting in fragmentation of the outcrop, aggravated by temperature differences which consequently emphasize the susceptibility to chemical attack [17]"
chemical weathering changes the composition and structure of what?,"chemical weathering changes the chemical composition and structure of source rocks, leading to disintegration and in turn increasing the mineral surface area available for chemical weathering [18]"
"biota are organisms, plants, and animals that produce what?","bioweathering, instead, consists of the alteration of rockforming minerals by biota (microorganisms, plants, and animals) which produce mechanical forces and metabolic compounds, including chelators and organic acids [17]"
What are the three types of Biodeterioration?,"generally, biodeterioration can be classified in three different types: physical or mechanical, aesthetic, and chemical. the physical type is related to the processes of growth and the movement of living organisms which destroy the material structure (e.g., root damage, gnawing by rodents)"
What is gnawing by rodents known as?,"g., root damage, gnawing by rodents). from an aesthetic point of view, the most significant effects depend on encrustation or soiling due to the presence of organisms, their metabolic products, and/or dead bodies, which form a microbial layer on the surface known as biofilm"
is assimilatory and dissimilatory the same thing?,"finally, chemical biodeterioration includes two different processes: assimilatory and dissimilatory"
How do organisms use the structural component as a food source?,"in the process of assimilation, organisms use the structural component as a food source by changing the properties of the material, while in the dissimilatory process, organisms excrete waste products or other substances that negatively affect the material [19,20]"
Which microorganisms colonize historical artifacts?,"as autotrophic organisms, algae and cyanophyta are typically deemed the first microorganisms to colonize historical artifacts. their presence is indicated by the deposit of a patina which can cause chemical or mechanical stone degradation [21]"
What do lichens and mosses produce?,"cyanophyta and other nfixing organisms along with more complex communities, such as lichens, produce materials that increase the amount of nitrogen and can facilitate the establishment of rootless plants, such as mosses"
What is the main reserve of nitrogen in the biosphere?,"thus, in the early stages of colonization where the fixed nitrogen is a limiting nutrient, with the main reserve of nitrogen in the biosphere being molecular dinitrogen, biological nitrogen fixation is among the first chemical mechanisms related to substrate formation"
How does the conversion of atmospheric nitrogen into ammonia occur?,"it consists of the conversion of atmospheric nitrogen into ammonia by symbiotic, associative, and freeliving bacteria [22,23]"
What plays a pioneering role in soil formation?,"then, microbe and lower plants release secretions which play a pioneering role in soil formation accelerating the process of rock weathering and altering the properties of parent material"
how do you add nutrients to the original soil?,"a constant secretion production gives rise to a shallow, original soil, which is being enriched by nutrients due to biological growth that limits leaching processes"
What activity promotes the production of fertile soil?,"at the same time, the strong interaction between the nonvascular vegetation and the original soil allows a further accumulation in nutrients available to higher plants, whose activity promotes the production of fertile soil [17,24]"
What type of microorganisms are always present in the colonization process?,"hence, pioneer microorganisms and plants (both therophyta and hemicryptophyta) are always present in the colonization process and can cause minimal damage, with them being replaced later by more harmful plants such as small shrubs or trees (figure 1)"
How many colonization modes are there?,"considering this sequence, two colonization modes can be described in relation to exposure, slope, water availability, and other factors that influence the arrival of some organisms over others depending on their adaptation to the present conditions"
"the intervention of abiotic factors that create the necessary conditions for the development of bacteria, fungi","in the first, there is the intervention of abiotic factors that create the necessary conditions for the development of bacteria, fungi, and lichens. the latter deteriorate the surfaces causing the formation of a substrate suitable for the first pioneer plants (i.e"
are sonchus tenerrimus and parietaria diffusa the same?,"e., sonchus tenerrimus, parietaria diffusa) which in turn form a favorable substrate for other higher plants through their detritus, atmospheric dust, bird excrement, and human wastes (figure 2)"
the second mode of colonization can occur where there are horizontal surfaces and there is good water availability,"the second mode of colonization can occur where there are horizontal surfaces and there is good water availability, so the pioneer organisms can be mosses that trap atmospheric dust leading to the formation of substrates necessary for the germination of seeds of vascular plants (figure 3)"
the succession of living organisms growing on stone artifacts generally begins with the development of what?,the succession of communities of living organisms growing on stone artifacts generally begins with the development of lichen flora depending on organic contamination caused by moisture and wind on the stone over time [21]
Why do living things occupy environments normally hostile to many other forms of life?,"lichens occupy environments normally hostile to many other forms of life, perhaps due to their resistance to desiccation and extreme temperatures, to longevity, and to their ability to store nutrients from the surrounding environment (figure 4) [26]"
What favors the development of new organisms?,"the colonization of stone materials by lichens is favored by the wind, insects, and birds which disperse the spores in the atmosphere which, falling into pores or cavities with water, favors the development of new organisms [13]"
"In the long term, can largebird excrement cause the formation of an ornith","according to garciarowe and saizjimenez [26], the largebird excrement provides the organic nitrogen useful to the develop of an ornithocoprophilous flora, which, in the long term, can cause biodeterioration of materials"
What kind of habitats are ramalina spp?,"indeed, on the cathedral of salamanca (spain) there are some species of lichens, such as ramalina spp., which are characteristic of rainy climates and excrementrich habitats [26].the damage caused by lichens is both mechanical and chemical"
the damage caused by lichens is both mechanical and what?,"the damage caused by lichens is both mechanical and chemical. the first is due especially to the penetration of the hyphae into the substrate, causing loss of cohesion due to the contraction and expansion of the thallus during fluctuations in the water supply"
"Which type of acid is produced first, citric, oxalic, lactic,","chemical damage, instead, regards the production of organic carboxylic acids, such as citric, oxalic, lactic, and gluconic acids which favor the chemical processes by which the lichens are able to decompose lithic constituents [13,27].on the other hand, a bioprotective condition also occurs"
"In the case of sandstone, the oxalic acid can react with the calcite","on the other hand, a bioprotective condition also occurs. for example, in the case of sandstone, the oxalic acid can react with the calcite cement producing calcium oxalate crystals around the lichen hyphae"
When does the union of oxalates and organic and mineral matter form a patina?,"when the thallus dies, the union of oxalates and organic and mineral matter form a patina which provides good protection to the sandstone against weathering. in agreement with arino et al"
Where was the balance between biodeterioration and bioprotection observed?,"in agreement with arino et al. [28], this balance between biodeterioration and bioprotection was observed at the forum of baelo claudia, a roman city located in southern spain"
What is a cause of the dissolution effect of water lying on the surface?,"the flagstones without lichen cover showed higher deterioration than those colonized by lichens thanks to several preventive actions: reduction of the abrasive effect produced by airborne sand particles, reduction of the dissolution effect of water lying on the surface, reduction of temperature changes, etc"
Mosses tend to prefer wetter climates in which humid environmental conditions and low temperature promote,"[28].with a sufficient accumulation of soil in the microcavities of rocks, the development of mosses and liverworts can begin [21]. mosses generally prefer wetter climates in which humid environmental conditions and low temperature promote their regeneration and multiplications (figure 5)"
What promotes the deterioration and weathering processes of building materials?,"thus, they retain water and abundant nutrients providing favorable environments for microorganism growth, but consequently, the accumulation of moisture promotes the deterioration and weathering processes of building materials [29,30,31]"
How do most dryland mosses lose their water from their shoot tissues?,"focusing on dry climates, most dryland mosses have evolved to require desiccation by losing virtually all liquid water from their shoot tissues [29,32]. according to jang and viles [29], the mosses have a buffering effect that may be beneficial to buildings located in drier climates"
where did the comparison of bare stone and moss covered stone occur?,this result was observed at the churchyard at chipping norton where the comparison between bare stone and mosscovered stone showed that the mosses can shield the substrates from lighter periods of rain and moisture
"For built heritage sites in these climates, removing mosses may not be necessary for the health","so, for built heritage sites in these climates, the removal of mosses may not be necessary for the health and preservation of the site. even, additional tests (e.g., karsten tube tests) illustrated that the impact of removing mosses may be more damaging than leaving them in situ"
"In wetter climates, what methods are used to keep and control relics?","conversely, in wetter climates and in cases with dramatic and invasive growths, different methods are implemented to preserve and control relics: direct methods (mechanical, biological, chemical, and physical) to counter the microorganisms; and indirect methods to confine the microorganisms’ activity, thus eliminating or reducing their nutritional sources [29,30]"
What is a benefit of removing mosses from monuments?,removing mosses therefore implies a dramatic effect on the aesthetics and presentation of a cultural heritage asset because their presence may be beneficial to the appearance of the monuments as a result of a higher authenticity value
"What is the name of the abbey where weathering and decay can accrue ""age","this is the case of dryburgh abbey where weathering and decay can accrue ‘age value’, marking the passage of time and creating aesthetically pleasing ‘character’, ‘patina’, and ‘ruination’ [29,33]"
What type of environment are stone artifacts?,"stone artifacts are a harsh environment for plant growth and, as underlined by segal [34], they show ecological characteristics similar to those of rocks in natural environments and can be considered selective anthropic ecosystems [37,38]"
the factors that most influence the capacity of walls to serve as habitats for higher plants are the,"the structural and environmental features of walls affect their ability to act as suitable habitats for plant growth. the factors that most influence the capacity of the walls to serve as habitats for higher plants are the size, construction materials, position, and age [38]"
Where does a succession of vascular plants occur?,"the settlement of vascular plants usually occurs in crevices and fractures in the wall, and if left undisturbed, a succession takes place of plants of increasing diversity and size [3,38]"
the adaptability of the species and the efficiency of their mode of reproduction are factors in what,vascular plant colonization is essentially conditioned by the adaptability of the species and the efficiency of their mode of reproduction
the living organisms mentioned above are the most harmful what?,"the living organisms mentioned above are the most harmful biodeteriogens, causing cracking and disconnection of materials, leading to considerable problems for stability and safety"
What causes the decay of the structural parts of a building?,"from a biophysical point of view, the decay is mainly caused by the roots, as the radial thickening during growth causes higher pressure on the structural parts of the building. the roots develop in fissures or cracks already present in the walls, in water seepage, and in more fragile parts (e.g"
How do the roots develop in more fragile parts?,"the roots develop in fissures or cracks already present in the walls, in water seepage, and in more fragile parts (e.g., mortar between stones) by reducing the adhesion between the stones [13,39]"
What forms in the cracks creating niches favorable to the accumulation of nutrients and organic substance?,"in addition, soil forms in the cracks creating niches favorable to the accumulation of nutrients and organic substance, which encourage the development of characteristic vegetation of the biogeographic area affected [34,37]"
What can be noted between a mechanism of assimilation where the organism obtains nourishment by,"with regard to the biochemical processes, a dualism can be noted between a mechanism of assimilation where the organism obtains nourishment by exploiting the surface of stones and a mechanism of dissimilation in which the production of metabolites by organisms causes chemical reactions on building materials [37,40,41]"
The type of damage that occurs on monuments varies in relation to the characteristics of the root system,"the type of damage that occurs on monuments varies in relation to the biological form of the plants or the characteristics of the root system [14]. plant biological form has been considered by most authors as the main element for assessing the hazard risk [3,35,42,43]"
Which category of plants has a short life of few months?,"there are different categories of plants, based on their life cycle and the position of the buds: therophytest: annual herbs (short life of few months); hemicryptophytesh: perennial herbs with buds at the soil level; geophytesg: perennial herbs with underground storage organs; chamaephytesch: woody plants with buds at no more than 25 cm above the soil surface; and phanerophytesp: trees and shrubs with buds over 25 cm above the soil surface [44]"
What is the hazard index for deteriogenic species?,"after classifying the biological form, it is possible to evaluate the hazard of deteriogenic species according to signorini [42], assigning a numerical index, defined as a hazard index (hi), ranging from 0 (minimal hazard) to 10 (high hazard)"
is invasiveness the same for each species?,"it differs for each species and is based on plant life form, invasiveness, vigor, and the size and shape of the root systems"
What are some of the damaging phenomena due to plant colonization?,"moreover, if there is visible damage, the risk assessment method proposed by fitzner and heinrichs [45] can be followed, which considers the recurrent damaging phenomena due to plant colonization, such as detachments, cracking, and deformation [14,35,37]"
What are the three most important environmental factors for the growth of an organism?,"generally, the most relevant environmental factors for the growth of an organism are water, temperature, light, and nutrients, because their values are often close to the minimum limit for the survival of the species"
What is the main cause of decay?,this explains why climatic factors play a primary role in biodeterioration processes [39].water accumulating in buildings is among the main causes of decay [48]
What determines the initiation of microbial susceptibility and colonization?,"water accumulating in buildings is among the main causes of decay [48]. its availability is a fundamental parameter which determines the initiation of microbial susceptibility and colonization, biofilm formation, and subsequent biological degradation"
What is the equilibrium between the material and the environment?,"moisture content in building stones is the result of a dynamic equilibrium between the material and the environment, and it is influenced by the movement of water that goes from inside to outside of the masonry and vice versa [49,50]"
Water can reach building materials in how many ways?,"water can reach building materials in several ways, from driving rain, capillary water rising from underground, runoff from the roof, and condensation of air humidity"
What is the main mechanism for water to infiltrate a building material?,"capillary rise is the main mechanism for water to infiltrate a building material, hence capillary water is very important for the establishment of microorganisms [48,49,51]"
moisture acts as a substrate for the growth of living what?,"moisture acts as a substrate for the growth of living organisms such as bacteria, fungi, or algae with consequent physical and chemical damage"
Is it important to find prevention strategies to avoid problems related to humidity or to prevent problems related,"for these reasons, it is important to find prevention strategies to avoid problems related to humidity, since eliminating the already existing problem is complicated, especially in structures of historical value [48]"
what are two important factors involved in the deterioration of stones?,"other important factors involved in the deterioration of stones are related to the substrates and construction materials, from a physical (roughness and porosity) and chemical (mineral composition and surface ph) point of view"
Who proposed the concept of biorecectivity?,"in this regard, it is useful to mention the concept of biorecectivity proposed by guillitte [9], considered as “the totality of material properties that contribute to the establishment, anchorage, and development of fauna and/or flora” or as “the aptitude of a material to be colonized by one or several groups of living organisms without necessarily undergoing any biodeterioration”"
What is the bioreceptivity index of materials with high porosity?,"this concept originates from the term “susceptibility” and involves an ecological correlation between the colonizer and the substrate. materials with high porosity have a high bioreceptivity index (bi), as more water is retained inducing worsening of the deterioration process [9,52]"
What is the bioreceptivity index of material with high porosity?,"materials with high porosity have a high bioreceptivity index (bi), as more water is retained inducing worsening of the deterioration process [9,52]. although a standard laboratory protocol for estimating stone biocerectivity and defining its index has not yet been established, vázqueznion et al"
Which component of the bi for granitic rocks quantifies the extent of the biological growth?,[53] proposed a bi for granitic rocks including two components: bigrowth that quantifies the extent of the biological growth and bicolour that quantifies the color change undergone by the stone due to the colonization
What is adapted to a scale that allows the qualitative classification of lithotypes in a simple and,bi values are adapted to a scale that allows the qualitative classification of lithotypes in a simple and easily comprehensible form
the control of microflora processes should begin with what?,the control of biodeterioration processes should begin with preventive measures that prevent the formation of favorable conditions for the development of deteriogenic microflora
How many years did liebig's law of the minimum last?,"referring to liebig’s law of the minimum (1840), in order to avoid or control a biological attack on a material, the limiting factor could be identified to modify or reduce its values to a level below the limit necessary for growth"
it is necessary that all parameters for the survival of the species are brought below what level?,"it is not necessary that all parameters for the survival of the species are brought below the minimum level, but it is sufficient that at least one of these values is modified to obtain an inhibitory effect on growth [39]"
How do you reduce the moisture in the stone material?,"furthermore, considering that water is one of the most influential factors in the biodeterioration process, the reduction of moisture within the stone material is necessary, by optimizing drainage systems, correcting architectural defects, and applying protective treatments to the stone"
which of the following can play a significant role in the life cycle analysis of large infrastructure systems,"nevertheless, the preventive actions are not always sufficient [10]. considering building materials, biodeterioration can play a significant role in the life cycle analysis of large infrastructure systems [19]"
"what can knowledge of the environment, building materials, and colonizing organisms help with?","so, proper knowledge of environmental conditions, building materials, and colonizing organisms enables the development of new technologies and safer and more effective conservations treatments"
Biodeterioration has been treated with what?,"over the centuries, biodeterioration has been treated with mechanical procedures, such as sand blasting, air abrasion, steam cleaning, pressure washing, oils, or even wax"
Why are these treatments not adequate for historical building?,"however, these physicmechanical treatments, which interact with the stone, are often not adequate for historical building as they are very aggressive"
What is being perfected to reduce the health risks for the environment?,"in recent times, new methods and ecofriendly or low impact procedures are being perfected to reduce the health risks for the individuals involved in restoration, visitors, and the environment"
how to remove patinas and biocidal treatments?,"these methods incorporate both cleaning procedures to remove patinas and biocidal treatments to kill colonizing organisms [54,55]"
When should biocides be applied?,"before using biocides, effective control of water and nutrient availability by and in the material is required; in fact, biocides should only be applied where biodeterioration cannot be controlled and chemical interventions are unavoidable [10]"
What is the first step in the design of more ecologically friendly solutions?,"generally, to lower the required concentrations of various type of biocides, a first step in the design of more ecologically friendly solutions may be pretreatment with waterrepellent coatings"
What is necessary to select the best biocide or coating to use?,"moreover, a detailed analysis of the microbial composition colonizing building materials and a species and sitespecific calibration of biocidal strategies is necessary to select the best biocide or coating to use, thus avoiding nonessential compounds and their release into the environment [55,56,57]"
who studied the potential toxicity of biocide treatments?,a good solution to improve the efficiency of biocide treatments and to avoid the environmental risks associated with their possible toxicity was studied by zuena et al. [58]
How many different types of stones did researchers apply on?,"the researchers applied on four different type of stones (brick, mortar, travertine, and carrara marble) a novel coating charged with an ecofriendly biocide, the zosteric sodium salt, encapsulated into two silica nanocontainers and dispersed into a tetraethoxysilanebased (teos) coating also containing tio2 nanoparticles"
the reduction in the capillary water absorption coefficient and the decrease in microorganism adhesion,"this formulation showed hydrophobic and biocide properties, based on the reduction in the capillary water absorption coefficient and the decrease in microorganism adhesion on cell surfaces at nontoxic concentrations, respectively"
How is the mechanical removal of the lichen thalli performed?,"referring to lichens, for foliose and fruticose ones, the mechanical removal of the lichen thalli is performed as they do not adhere strongly to the substrate"
How do you remove the thallus from a stone?,"for crustlike lichens, instead, the removal of the thallus which penetrates deeply into the stone requires the use of hard brushes and considerable washing with water and detergents"
How is the application of biocides performed?,"however, this method causes the dispersion of spores and increased stone loss, so it becomes necessary to employ biocides. the application of these products is performed by spraying, avoiding windy and rainy days, or brushing, preferably on nonfriable surfaces"
How many authors recommend the use of quaternary ammonia salts?,"several authors recommend the use of quaternary ammonia salts applied with a lowpressure spray, choosing the correct concentration in relation to the porosity of the substrate [14]"
Is the damage caused by microorganisms more or less visible than the damage to vascular plants?,"while damage caused by microorganisms is often hardly noticeable, damage caused by vascular plants is more visible and severe, depending on the extent of the growth rate and biological form of the plant"
What part of a tree is the decay caused by?,"decay is caused by the aerial part, but mainly by the roots, as they deepen into the structure and grow to a large size, causing physical and chemical issues"
How do roots break down a wall?,"roots secrete substances that attack building materials, and in the course of their growth, they open cracks, cause crumbling, and loosen stones and large fragments in the wall [13]. according to almeida et al"
What type of plants are more destructive than herbaceous plants?,"according to almeida et al. [61], trees and shrubs such as ailanthus altissima, capparis spinosa, clematis vitalba, ficus carica, hedera helix, and rubus ulmifolius are typically more destructive than herbaceous plants such as mercurialis annua, parietaria diffusa, and sonchus tenerrimus"
"If the plant grows as a liana, what damages the surfaces?","aesthetically, hedera helix is very attractive, but creates many difficulties: the fruit is eaten by birds and the seeds germinate in many microsites; if the plant grows as a liana, the weight damages the surfaces; if the plant germinates and grows in the wall, there is additionally the destructive action of the roots"
Which type of reproduction is most destructive?,"moreover, the most destructive plants are those with vegetative reproduction, since stolons and rhizomes cause the infesting plants to increase in size and propagate over large areas [13]"
why do cleaning operations need to be combined to remove colonizing vegetation?,"during maintenance operations on historic buildings and archaeological sites, cleaning operations must be combined to remove colonizing vegetation, because their frequency or absence influences the type and degree of colonization by the plants"
How many control methods are there to reduce or avoid the risk of colonization?,"there are many control methods to reduce or avoid the risk of colonization, which depends on the type of plant, the structure of the building, its state of conservation, and its location"
what is a surest way to control herbaceous plants?,"for herbaceous plants, the surest method of control with longterm advantages is the total removal of the plants, including their roots, and thereafter filling the cracks so that other seeds do not germinate in them"
Why does this method have limitations for ligneous plants?,"however, this method has limitations for ligneous plants due to the difficulty of removing the roots, and when the walls are impervious or very high"
How do you rebuild a plant?,"in this way, more complex methods must be used, including killing the plant with chemicals, or, if the position of the plant in the building permits, removing stones, extirpating the roots, and rebuilding"
Chemical herbicides are more efficient than what other type of weeding?,"chemical herbicides are more efficient than manual weeding, but their application depends on environmental (climate, chemical, and physical properties of materials, etc.) and toxicological aspects (toxicity, volatility, and biodegradability)"
Chemical aspects of toxicology include what?,") and toxicological aspects (toxicity, volatility, and biodegradability). obviously, chemicals should not be used indiscriminately in towns as problems of elimination could arise with already polluted air [13]"
Is it safe to use chemicals in towns?,"obviously, chemicals should not be used indiscriminately in towns as problems of elimination could arise with already polluted air [13].“sugaring” or granural disaggregation of marble crystals appears on surface areas directly exposed to rain fall"
what is it called when granural plates of marble crystals are exposed to rain fall?,"“sugaring” or granural disaggregation of marble crystals appears on surface areas directly exposed to rain fall. the rainwater acidified by carbon dioxide, sulphur dioxide and nitrogen oxides from the air pollution slowly dissolves the marble"
what is the name of the element that dissolves the marble?,"the rainwater acidified by carbon dioxide, sulphur dioxide and nitrogen oxides from the air pollution slowly dissolves the marble. this damage is evident in the effect on the marble crystals, leading to the loss of their cohesion and ultimately in their falling off"
where does sulphation occur?,"this damage is evident in the effect on the marble crystals, leading to the loss of their cohesion and ultimately in their falling off.the phenomenon of sulphation occurs in areas of the marble sheltered from the rain water"
does calcium carbonate turn into calcium sulphate dehydrate?,"the phenomenon of sulphation occurs in areas of the marble sheltered from the rain water. in the presence of moisture and sulphur dioxide the calcium carbonate, main component of the marble, is transformed into calcium sulphate dehydrate (gypsum)"
the fine crystals layer retains the relief of what?,at first fine gypsum crystals are formed and these subsequently change into large gypsum crystals. the fine crystals layer retains the relief of the surface
what is evident in areas protected from rainwater?,"the fine crystals layer retains the relief of the surface.deposits of air pollutants are evident in areas protected from rainwater are airborne atmospheric pollutants and suspended particles such as soot, hydrocarbons, metallic oxides that have altered the colouration of the surfaces"
"What is formed from gypsum, calcium carbonate and various atmospheric pollutants?","the black crusts are formed from successive deposits of gypsum, recrystallized calcium carbonate and various atmospheric pollutants.fractures, cracks and delamination many architectural members (blocks or elements) are fractured, and subsequently their morphology and geometry have been changed"
is it possible for a rock to break off a marble?,"the type of failure appears either in the form of fractures, cracks or in the form of delamination, which is the splintering – breaking off of large pieces from the surface of the marble"
What caused most of the cracks in the iron reinforcements?,"most of the cracks have been caused by the rusting and swelling of the iron reinforcements, mainly from the balanos and orlandos restoration (18901937). there are also fractures that are the result of mechanical forces or heat (such as earthquakes, the fire in antiquity, and the explosion of 1687)"
what is one cause of the fractures?,"there are also fractures that are the result of mechanical forces or heat (such as earthquakes, the fire in antiquity, and the explosion of 1687).disintegration and flaking are observable on areas of the surface where the marble has less coherence, so that more water penetrates and is retained"
What is the term for thermal fatigue of the marble?,"this situation is due to many factors, such as the microstructure of the marble (silicate impurities), thermal fatigue of the surface from fire, and the circulation of soluble salts from previously used conservation materials such as the meyer cement"
where does pitting erosion appear?,pitting erosion appears in the form of semispherical holes either sporadically or in clusters. it is caused by the activity of microorganisms whose development is favoured by increased humidity. it appears chiefly on the north side of the monuments and it is worse in areas with silicate veining
where is silicate veining on the monuments?,"it appears chiefly on the north side of the monuments and it is worse in areas with silicate veining.in addition to the damage created by the rusting of the iron reinforcements, there are problems resulting from the mortars used in the past treatments to join fragments and to point cracks"
How long was meyer cement used on monuments for?,"most are based on sorrel or meyer cement, which was used extensively on the monuments, including also the statues of the acropolis, for more than 80 years. it is a white plaster with two basic components, magnesium oxide and magnesium chloride"
when did esma take over the coordination and supervision of the works?,"today, most of the mortars of this type are flaking or powdering, producing soluble salts and the adjoining marble crumbles since 1975 when esma took over the coordination and supervision of the works the use of meyer cement on the acropolis monuments was suspended"
What is shown to be significant in the damage to the marble?,"biodeterioration factors research by microbiologists has revealed the presence of a variety of microbial colonies, consisted of bacteria, algae, fungi and lichens. the biological factor in the physicochemical damage to the marble has been shown to be significant"
