passages,questions
"4 5). while we initially used small diameter iron rods, ice picks, and small hand picks, to dig out the ancient mortar by hand, we later employed air pressure pistol shaped hammers, powered by air compressors, and fitted with a narrow wedge or chisel shaped head (fig. 6)",How did we initially dig out the ancient mortar?
"6).once the ancient mortar was removed, the wall was washed carefully with a hose or sprayer, using the water pressure to clean the surfaces and interstices of the stones (fig. 7). washing the walls before application of the mortar was critical",how to clean walls before application of the mortar?
"7). washing the walls before application of the mortar was critical. the process cleans and reduces the temperature of the surfaces of the wall stones facilitating the adherence, setting, and long term stability of the compound",the process of washing the walls before application of the mortar was critical because it reduced the temperature
"the mortar material we used experimentally in 2003 consisted of a mixture of lime, white cement, tephra, and a combination of fine and coarse grain sand",the material we used to make the base for the base was what?
"after observing the condition of the mortar after a year, we noticed that the material adhered well to the masonry, but wider interstices were less stable and some cracks were evident. in 2004 we removed the lime and tephra from the mixture, using principally sand and white cement",How long did it take to remove the lime and tephra from the mixture?
"in 2004 we removed the lime and tephra from the mixture, using principally sand and white cement.the final stages of wall conservation are equally arduous: this is the application of the mortar, and then the scraping of the interstices (fig. 8)",when did we remove the lime and tephra from the mixture?
"8). when applied, the mortar compound must be compacted deeply into the spaces between wall stones, normally using one’s fingers at first, and then wooden pegs, hammers and mallets",How to compact a brick wall?
"at this stage the air compressor pistols were effective; fitted with custom fashioned hammer shaped spikes, they could be used to pound the mortar deeply in between the wall stones, with considerable precision (fig. 9)",were air compressor pistols effective?
"these final stages of the process were perhaps the most important, as the bond between the mortar and stone must create a clean and even seam, sealing the spaces between wall stones completely so that no rain or wind born soil and vegetation can penetrate the exposed surfaces to take root in the wall",what was the most important part of the final stage of the process?
"this stage was also time sensitive—the mortars had to be pressed and scraped before setting (fig. 10)—and involved hundreds of hours of scraping down the interstices, further pressing the mortar into place against the stone surfaces",How long did it take for the mortars to be pressed and scraped?
"10)—and involved hundreds of hours of scraping down the interstices, further pressing the mortar into place against the stone surfaces. more detailed work, requiring a team of architectural conservators, was necessary to repair fractures in the stepped bench of the monumental civic building (fig",How long did it take to drill down the interstices of the civic building?
"11). ancient fissures in the fine sideropetra blocks of the bench had begun to expand, after exposure to the elements in 2005 and 2006",What happened to the sideropetra blocks of the bench in 2005 and 2006?
"extreme temperature fluctuations at this elevation—especially alternating freezing and warming trends during the winter months—combined with normal seismic activity, caused or widened multiple fractures within the building, and elsewhere on the site",What is the cause of the fractures within the building?
"those mosaics on sites that escaped being detached and relaid in past decades have also reached a crisis situation in many countries, if there is anything left of them (figure 5)", mosaics on sites that escaped being detached and relaid in past decades have reached a crisis
"excavations carried out by foreign archaeologists up to a century ago, and now more often by local archaeologists, have left a vast number of mosaics exposed on sites which are beyond the resources and skills of the authorities to protect and maintain",How long ago did foreign archaeologists begin excavating tombs?
the options faced by the authorities regarding the conservation of mosaics still on their original bedding are much better than if they had been detached and relaid,Are the mosaics on the bedding better or worse if they were detached and relaid
"an in situ mosaic on its original bedding can be protected and conserved for the longterm by reburial, while a mosaic relaid on reinforced cement cannot",How can a mosaic be protected and conserved for the long term?
"the other option for in situ mosaics is to protect and present them under a new shelter construction (see gionata rizzi, “sheltering the mosaics of piazza armerina: issues of conservation and preservation” in heritage, conservation and archaeology), however this option is much more expensive",What is an alternative for in situ mosaics?
"in situ mosaics will not necessarily survive in the long term in the open air, even if provided with continual maintenance. the artistic and historical value of some mosaics on sites certainly merit protection by shelters and presentation to the public, but the majority of mosaics on sites do not",Are the majority of mosaics on sites protected by shelters or the public?
this does not imply that they should be left exposed until they are either beyond repair or have become a loose pile of tesserae. a recent assessment of mosaic reburials in tunisia has shown that just a few centimeters of sand placed over a mosaic can prevent significant deterioration of a mosaic,a recent assessment of mosaic reburials in tunisia showed that a few centimeters of
"the deeper the reburial fill covering, the more protective and stable the created environment will be for the mosaic, but with a very limited budget, the slow destruction of mosaics through exposure to the elements can be avoided even with very shallow reburials","the deeper the reburial fill covering, the more protective and stable the created environment will"
"weathering is the source of most of the deterioration of archaeological sites. wind, rain, freeze thaw, and evaporation are extremely common and can cause erosion. natural disasters, such as floods, fires, earthquakes, and volcanic eruptions, can cause the complete destruction of a site",What is the source of most of the deterioration of archaeological sites?
"natural disasters, such as floods, fires, earthquakes, and volcanic eruptions, can cause the complete destruction of a site.[5] the most effective way to protect archaeological sites from these larger events is to formulate a risk management plan",Which is the most effective way to protect archaeological sites from natural disasters?
[5] the most effective way to protect archaeological sites from these larger events is to formulate a risk management plan. archaeologists and conservators should assess threats to the site and determine material susceptibility,What is the most effective way to protect archaeological sites from larger events?
"climate change climate projections also show that changes in rainfall (intensity and frequency), increases in temperature and frequency of heatwaves, rising sea levels and groundwater fluctuations, warmer seas and ocean acidification will also result in changes to flora and fauna, ground conditions (on and below the surface) will affect archaeological deposits and structures",What are two things that change the frequency of heat waves?
[6] human responses to the climate crisis also impact archaeological sites.dry preservation  climates or environments that are arid and lack moisture provide perfect conditions for dry preservation. the hot sands of egypt are perhaps the most common example of this,Which of the hot sands of egypt is an example of dry preservation?
"the hot sands of egypt are perhaps the most common example of this. dry does not always need to be hot though, as can be seen by the airtight coffin that preserved the lady of dai in china",Where was the lady of dai buried?
"dry does not always need to be hot though, as can be seen by the airtight coffin that preserved the lady of dai in china.  without moisture entering the environment, bacteria and microorganisms are not able to flourish and begin their work on decomposing organic material",What was preserved in china?
"cold preservation similar to our own refrigeration system, freezing organic material can essentially keep a moment in time locked away until thawing occurs",How long does it take to thaw?
"the arctic offers a great deal of unlocked archaeological evidence, and has proven to preserve some extraordinary things: the ötzi man, for example, or the immaculate woolly mammoths pulled from the tundra",What is the name of the man that was pulled from the tundra?
"flesh and skin are so well preserved, that archaeologists can see tattoos, as well as decipher a plethora of vital information regarding daily life",What is so well preserved that archaeologists can see it?
"wet (waterlogged) preservation if wetland archaeology weren’t as expensive as it was, it would probably be one of the most popular forms of excavation as it can preserve the most organic material. submersion in a lake, bog, swamp, etc. essentially creates an anoxic environment for the artefact",waterlogging is an example of what type of archaeology?
"submersion in a lake, bog, swamp, etc. essentially creates an anoxic environment for the artefact. without oxygen, bacteria cannot grow or feed on the organic material, leaving it essentially untouched until it is uncovered by excavation",can bacteria survive in an anoxic environment?
"without oxygen, bacteria cannot grow or feed on the organic material, leaving it essentially untouched until it is uncovered by excavation.  bog bodies are an example of famous finds in waterlogged environments. waterlogged archaeological wood is also vital for tree ring dating timelines",What is vital for tree ring dating timelines?
bog bodies are an example of famous finds in waterlogged environments. waterlogged archaeological wood is also vital for tree ring dating timelines. the main concern lies with removal from the wet environment as it immediately begins to dry out and degrade,can you build a tree ring from a waterlogged environment?
the main concern lies with removal from the wet environment as it immediately begins to dry out and degrade. careful attention must be paid to wet finds and they must be conserved accordingly,the main concern with removal from the wet environment is that it begins to what?
careful attention must be paid to wet finds and they must be conserved accordingly.biodeterioration is a type of damage generated by the growth and/or metabolic activities of organisms on various substrates,the damage generated by the growth and/or metabolic activities of organisms on various substrates is
"as defined by hueck [1], biodeterioration is “any undesirable change in the properties of a material caused by the vital activities of organisms”, or, as defined by rose [2], it is “the process by which living organisms are the cause of the [structural] loss of quality and, consequently, of value”",What is the process by which living organisms are the cause of thestructural loss of quality
"this definition separates the concept of biodeterioration from cases of wear and corrosion involving undesirable changes in the properties of a material caused by mechanical, physical, and chemical influences [3]",Biodeterioration is the concept of what?
"historical buildings and stone monuments are the maximum expression of human heritage and, being subject to deterioration, their conservation has become a matter of concern for the scientific community to ensure the identity and cultural continuity of humanity [4,5]",What has become a matter of concern for the scientific community?
"therefore, understanding the physiological and morphological characteristics of deteriogenic organisms, such as algae, fungi, lichens, mosses, and vascular plants, is necessary to establish the type of interaction that occurs with the material and to evaluate the cause–effect of the deteriorating action of a specific biological agent [6]",What is necessary to establish the type of interaction that occurs with material and to evaluate the cause
"the colonization of stone monuments by an organism also depends on the chemical–physical properties of a material, giving rise to a particular susceptibility to colonization, defined as bioreceptivity, which is based on the surface roughness, porosity, exposure, and inclination of the wall [5,7,8,9]",How is bioreceptivity defined?
"obviously, the building materials are more or less bioreceptive and therefore subject in different ways to biological degradation",What are the building materials more or less bioreceptive than?
"environmental conditions such as moisture, wind, and temperature can play a crucial role in the colonization and establishment of living communities that can affect the stone surfaces of monuments and works of art",What conditions can affect the stone surfaces of monuments and works of art?
"as the alteration processes proceed, living organisms begin to colonize the area and so the phenomenon of biodeterioration takes place [10]","as the process begins, what begins to colonize the area?"
"several authors have reported that microorganisms can play a significant role in all rock deterioration processes, developing on the stone surface even when no organic matter is present [11]",Many authors have reported that microorganisms can play a significant role in what?
"algae and cyanobacteria are usually the first colonizers due to their limited water demands, then lichens follow, which are highly resistant to drying and high temperatures, and fungi, which cause alterations (e.g",Which organisms are the first colonizers?
"g., stains and loss of cohesion) that are difficult to identify by direct observation [12,13]. with a persistent deteriogenic action of environmental agents and microorganisms, the colonization of buildings by vascular plants is favored and increased",What are two things that are difficult to identify by direct observation?
"deterioration occurs after a strong alteration due to weathering and aging of stone materials. weathering is a combination of geochemical, geophysical, and biological processes responsible for the alteration of source rocks","is weathering a combination of geochemical, geochemical and biological processes?"
"physically, rock masses are eroded from an overlying rock resulting in fragmentation of the outcrop, aggravated by temperature differences which consequently emphasize the susceptibility to chemical attack [17]",How are rock masses eroded?
"chemical weathering changes the chemical composition and structure of source rocks, leading to disintegration and in turn increasing the mineral surface area available for chemical weathering [18]",chemical weathering changes the composition and structure of what?
"bioweathering, instead, consists of the alteration of rock forming minerals by biota (microorganisms, plants, and animals) which produce mechanical forces and metabolic compounds, including chelators and organic acids [17]","biota are organisms, plants, and animals that produce what?"
"generally, biodeterioration can be classified in three different types: physical or mechanical, aesthetic, and chemical. the physical type is related to the processes of growth and the movement of living organisms which destroy the material structure (e.g., root damage, gnawing by rodents)",What are the three types of Biodeterioration?
"g., root damage, gnawing by rodents). from an aesthetic point of view, the most significant effects depend on encrustation or soiling due to the presence of organisms, their metabolic products, and/or dead bodies, which form a microbial layer on the surface known as biofilm",What is gnawing by rodents known as?
"finally, chemical biodeterioration includes two different processes: assimilatory and dissimilatory",is assimilatory and dissimilatory the same thing?
"in the process of assimilation, organisms use the structural component as a food source by changing the properties of the material, while in the dissimilatory process, organisms excrete waste products or other substances that negatively affect the material [19,20]",How do organisms use the structural component as a food source?
"as autotrophic organisms, algae and cyanophyta are typically deemed the first microorganisms to colonize historical artifacts. their presence is indicated by the deposit of a patina which can cause chemical or mechanical stone degradation [21]",Which microorganisms colonize historical artifacts?
"cyanophyta and other n fixing organisms along with more complex communities, such as lichens, produce materials that increase the amount of nitrogen and can facilitate the establishment of rootless plants, such as mosses",What kind of plant is mosses?
"thus, in the early stages of colonization where the fixed nitrogen is a limiting nutrient, with the main reserve of nitrogen in the biosphere being molecular di nitrogen, biological nitrogen fixation is among the first chemical mechanisms related to substrate formation",What is the main reserve of nitrogen in the biosphere?
"it consists of the conversion of atmospheric nitrogen into ammonia by symbiotic, associative, and free living bacteria [22,23]",How does the conversion of atmospheric nitrogen into ammonia occur?
"then, microbe and lower plants release secretions which play a pioneering role in soil formation accelerating the process of rock weathering and altering the properties of parent material",What plays a pioneering role in soil formation?
"a constant secretion production gives rise to a shallow, original soil, which is being enriched by nutrients due to biological growth that limits leaching processes",how do you add nutrients to the original soil?
"at the same time, the strong interaction between the non vascular vegetation and the original soil allows a further accumulation in nutrients available to higher plants, whose activity promotes the production of fertile soil [17,24]",What activity promotes the production of fertile soil?
"hence, pioneer microorganisms and plants (both therophyta and hemicryptophyta) are always present in the colonization process and can cause minimal damage, with them being replaced later by more harmful plants such as small shrubs or trees (figure 1)",What type of microorganisms are always present in the colonization process?
"considering this sequence, two colonization modes can be described in relation to exposure, slope, water availability, and other factors that influence the arrival of some organisms over others depending on their adaptation to the present conditions",How many colonization modes are there?
"in the first, there is the intervention of abiotic factors that create the necessary conditions for the development of bacteria, fungi, and lichens. the latter deteriorate the surfaces causing the formation of a substrate suitable for the first pioneer plants (i.e","the intervention of abiotic factors that create the necessary conditions for the development of bacteria, fungi"
"e., sonchus tenerrimus, parietaria diffusa) which in turn form a favorable substrate for other higher plants through their detritus, atmospheric dust, bird excrement, and human wastes (figure 2)",are sonchus tenerrimus and parietaria diffusa the same?
"the second mode of colonization can occur where there are horizontal surfaces and there is good water availability, so the pioneer organisms can be mosses that trap atmospheric dust leading to the formation of substrates necessary for the germination of seeds of vascular plants (figure 3)",the second mode of colonization can occur where there are horizontal surfaces and there is good water availability
the succession of communities of living organisms growing on stone artifacts generally begins with the development of lichen flora depending on organic contamination caused by moisture and wind on the stone over time [21],the succession of living organisms growing on stone artifacts generally begins with the development of what?
"lichens occupy environments normally hostile to many other forms of life, perhaps due to their resistance to desiccation and extreme temperatures, to longevity, and to their ability to store nutrients from the surrounding environment (figure 4) [26]",Why do living things occupy environments normally hostile to many other forms of life?
"the colonization of stone materials by lichens is favored by the wind, insects, and birds which disperse the spores in the atmosphere which, falling into pores or cavities with water, favors the development of new organisms [13]",What favors the development of new organisms?
"according to garcia rowe and saiz jimenez [26], the large bird excrement provides the organic nitrogen useful to the develop of an ornithocoprophilous flora, which, in the long term, can cause biodeterioration of materials",How does garcia rowe and saiz jimenez describe the large bird excre
"indeed, on the cathedral of salamanca (spain) there are some species of lichens, such as ramalina spp., which are characteristic of rainy climates and excrement rich habitats [26].the damage caused by lichens is both mechanical and chemical",What kind of habitats are ramalina spp?
"the damage caused by lichens is both mechanical and chemical. the first is due especially to the penetration of the hyphae into the substrate, causing loss of cohesion due to the contraction and expansion of the thallus during fluctuations in the water supply",the damage caused by lichens is both mechanical and what?
"chemical damage, instead, regards the production of organic carboxylic acids, such as citric, oxalic, lactic, and gluconic acids which favor the chemical processes by which the lichens are able to decompose lithic constituents [13,27].on the other hand, a bioprotective condition also occurs","Which type of acid is produced first, citric, oxalic, lactic,"
"on the other hand, a bioprotective condition also occurs. for example, in the case of sandstone, the oxalic acid can react with the calcite cement producing calcium oxalate crystals around the lichen hyphae","In the case of sandstone, the oxalic acid can react with the calcite"
"when the thallus dies, the union of oxalates and organic and mineral matter form a patina which provides good protection to the sandstone against weathering. in agreement with arino et al",When does the union of oxalates and organic and mineral matter form a patina?
"in agreement with arino et al. [28], this balance between biodeterioration and bioprotection was observed at the forum of baelo claudia, a roman city located in southern spain",Where was the balance between biodeterioration and bioprotection observed?
"the flagstones without lichen cover showed higher deterioration than those colonized by lichens thanks to several preventive actions: reduction of the abrasive effect produced by airborne sand particles, reduction of the dissolution effect of water lying on the surface, reduction of temperature changes, etc",What is a cause of the dissolution effect of water lying on the surface?
"[28].with a sufficient accumulation of soil in the micro cavities of rocks, the development of mosses and liverworts can begin [21]. mosses generally prefer wetter climates in which humid environmental conditions and low temperature promote their regeneration and multiplications (figure 5)",Which type of climate do mosses prefer?
"thus, they retain water and abundant nutrients providing favorable environments for microorganism growth, but consequently, the accumulation of moisture promotes the deterioration and weathering processes of building materials [29,30,31]",What promotes the deterioration and weathering processes of building materials?
"focusing on dry climates, most dryland mosses have evolved to require desiccation by losing virtually all liquid water from their shoot tissues [29,32]. according to jang and viles [29], the mosses have a buffering effect that may be beneficial to buildings located in drier climates",How do most dryland mosses lose their water from their shoot tissues?
this result was observed at the churchyard at chipping norton where the comparison between bare stone and moss covered stone showed that the mosses can shield the substrates from lighter periods of rain and moisture,where did the comparison of bare stone and moss covered stone occur?
"so, for built heritage sites in these climates, the removal of mosses may not be necessary for the health and preservation of the site. even, additional tests (e.g., karsten tube tests) illustrated that the impact of removing mosses may be more damaging than leaving them in situ","For built heritage sites in these climates, removing mosses may not be necessary for the health"
"conversely, in wetter climates and in cases with dramatic and invasive growths, different methods are implemented to preserve and control relics: direct methods (mechanical, biological, chemical, and physical) to counter the microorganisms; and indirect methods to confine the microorganisms’ activity, thus eliminating or reducing their nutritional sources [29,30]","In wetter climates, what methods are used to keep and control relics?"
removing mosses therefore implies a dramatic effect on the aesthetics and presentation of a cultural heritage asset because their presence may be beneficial to the appearance of the monuments as a result of a higher authenticity value,What is a benefit of removing mosses from monuments?
"this is the case of dryburgh abbey where weathering and decay can accrue ‘age value’, marking the passage of time and creating aesthetically pleasing ‘character’, ‘patina’, and ‘ruination’ [29,33]","What is the name of the abbey where weathering and decay can accrue ""age"
"stone artifacts are a harsh environment for plant growth and, as underlined by segal [34], they show ecological characteristics similar to those of rocks in natural environments and can be considered selective anthropic ecosystems [37,38]",What type of environment are stone artifacts?
"the structural and environmental features of walls affect their ability to act as suitable habitats for plant growth. the factors that most influence the capacity of the walls to serve as habitats for higher plants are the size, construction materials, position, and age [38]",the factors that most influence the capacity of walls to serve as habitats for higher plants are the
"the settlement of vascular plants usually occurs in crevices and fractures in the wall, and if left undisturbed, a succession takes place of plants of increasing diversity and size [3,38]",Where does a succession of vascular plants occur?
vascular plant colonization is essentially conditioned by the adaptability of the species and the efficiency of their mode of reproduction,the adaptability of the species and the efficiency of their mode of reproduction are factors in what
"the living organisms mentioned above are the most harmful biodeteriogens, causing cracking and disconnection of materials, leading to considerable problems for stability and safety",the living organisms mentioned above are the most harmful what?
"from a biophysical point of view, the decay is mainly caused by the roots, as the radial thickening during growth causes higher pressure on the structural parts of the building. the roots develop in fissures or cracks already present in the walls, in water seepage, and in more fragile parts (e.g",What causes the decay of the structural parts of a building?
"the roots develop in fissures or cracks already present in the walls, in water seepage, and in more fragile parts (e.g., mortar between stones) by reducing the adhesion between the stones [13,39]",How do the roots develop in more fragile parts?
"in addition, soil forms in the cracks creating niches favorable to the accumulation of nutrients and organic substance, which encourage the development of characteristic vegetation of the biogeographic area affected [34,37]",What forms in the cracks creating niches favorable to the accumulation of nutrients and organic substance?
"with regard to the biochemical processes, a dualism can be noted between a mechanism of assimilation where the organism obtains nourishment by exploiting the surface of stones and a mechanism of dissimilation in which the production of metabolites by organisms causes chemical reactions on building materials [37,40,41]",What can be noted between a mechanism of assimilation where the organism obtains nourishment by
"the type of damage that occurs on monuments varies in relation to the biological form of the plants or the characteristics of the root system [14]. plant biological form has been considered by most authors as the main element for assessing the hazard risk [3,35,42,43]",The type of damage that occurs on monuments varies in relation to the characteristics of the root system
"there are different categories of plants, based on their life cycle and the position of the buds: therophytes t: annual herbs (short life of few months); hemicryptophytes h: perennial herbs with buds at the soil level; geophytes g: perennial herbs with underground storage organs; chamaephytes ch: woody plants with buds at no more than 25 cm above the soil surface; and phanerophytes p: trees and shrubs with buds over 25 cm above the soil surface [44]",Which category of plants is most common in the soil?
"after classifying the biological form, it is possible to evaluate the hazard of deteriogenic species according to signorini [42], assigning a numerical index, defined as a hazard index (hi), ranging from 0 (minimal hazard) to 10 (high hazard)",What is the hazard index for deteriogenic species?
"it differs for each species and is based on plant life form, invasiveness, vigor, and the size and shape of the root systems",is invasiveness the same for each species?
"moreover, if there is visible damage, the risk assessment method proposed by fitzner and heinrichs [45] can be followed, which considers the recurrent damaging phenomena due to plant colonization, such as detachments, cracking, and deformation [14,35,37]",What are some of the damaging phenomena due to plant colonization?
"generally, the most relevant environmental factors for the growth of an organism are water, temperature, light, and nutrients, because their values are often close to the minimum limit for the survival of the species",What are the three most important environmental factors for the growth of an organism?
this explains why climatic factors play a primary role in biodeterioration processes [39].water accumulating in buildings is among the main causes of decay [48],What is the main cause of decay?
"water accumulating in buildings is among the main causes of decay [48]. its availability is a fundamental parameter which determines the initiation of microbial susceptibility and colonization, biofilm formation, and subsequent biological degradation",What determines the initiation of microbial susceptibility and colonization?
"moisture content in building stones is the result of a dynamic equilibrium between the material and the environment, and it is influenced by the movement of water that goes from inside to outside of the masonry and vice versa [49,50]",What is the equilibrium between the material and the environment?
"water can reach building materials in several ways, from driving rain, capillary water rising from underground, run off from the roof, and condensation of air humidity",Water can reach building materials in how many ways?
"capillary rise is the main mechanism for water to infiltrate a building material, hence capillary water is very important for the establishment of microorganisms [48,49,51]",What is the main mechanism for water to infiltrate a building material?
"moisture acts as a substrate for the growth of living organisms such as bacteria, fungi, or algae with consequent physical and chemical damage",moisture acts as a substrate for the growth of living what?
"for these reasons, it is important to find prevention strategies to avoid problems related to humidity, since eliminating the already existing problem is complicated, especially in structures of historical value [48]",Is it important to find prevention strategies to avoid problems related to humidity or to prevent problems related
"other important factors involved in the deterioration of stones are related to the substrates and construction materials, from a physical (roughness and porosity) and chemical (mineral composition and surface ph) point of view",what are two important factors involved in the deterioration of stones?
"in this regard, it is useful to mention the concept of biorecectivity proposed by guillitte [9], considered as “the totality of material properties that contribute to the establishment, anchorage, and development of fauna and/or flora” or as “the aptitude of a material to be colonized by one or several groups of living organisms without necessarily undergoing any biodeterioration”",Who proposed the concept of biorecectivity?
"this concept originates from the term “susceptibility” and involves an ecological correlation between the colonizer and the substrate. materials with high porosity have a high bioreceptivity index (bi), as more water is retained inducing worsening of the deterioration process [9,52]",What is the bioreceptivity index of materials with high porosity?
"materials with high porosity have a high bioreceptivity index (bi), as more water is retained inducing worsening of the deterioration process [9,52]. although a standard laboratory protocol for estimating stone biocerectivity and defining its index has not yet been established, vázquez nion et al",What is the bioreceptivity index of material with high porosity?
[53] proposed a bi for granitic rocks including two components: bigrowth that quantifies the extent of the biological growth and bicolour that quantifies the color change undergone by the stone due to the colonization,Which component of the bi for granitic rocks quantifies the extent of the biological growth?
bi values are adapted to a scale that allows the qualitative classification of lithotypes in a simple and easily comprehensible form,What is adapted to a scale that allows the qualitative classification of lithotypes in a simple and
the control of biodeterioration processes should begin with preventive measures that prevent the formation of favorable conditions for the development of deteriogenic microflora,the control of microflora processes should begin with what?
"referring to liebig’s law of the minimum (1840), in order to avoid or control a biological attack on a material, the limiting factor could be identified to modify or reduce its values to a level below the limit necessary for growth",How many years did liebig's law of the minimum last?
"it is not necessary that all parameters for the survival of the species are brought below the minimum level, but it is sufficient that at least one of these values is modified to obtain an inhibitory effect on growth [39]",it is necessary that all parameters for the survival of the species are brought below what level?
"furthermore, considering that water is one of the most influential factors in the biodeterioration process, the reduction of moisture within the stone material is necessary, by optimizing drainage systems, correcting architectural defects, and applying protective treatments to the stone",How do you reduce the moisture in the stone material?
"nevertheless, the preventive actions are not always sufficient [10]. considering building materials, biodeterioration can play a significant role in the life cycle analysis of large infrastructure systems [19]",which of the following can play a significant role in the life cycle analysis of large infrastructure systems
"so, proper knowledge of environmental conditions, building materials, and colonizing organisms enables the development of new technologies and safer and more effective conservations treatments","what can knowledge of the environment, building materials, and colonizing organisms help with?"
"over the centuries, biodeterioration has been treated with mechanical procedures, such as sand blasting, air abrasion, steam cleaning, pressure washing, oils, or even wax",Biodeterioration has been treated with what?
"however, these physic mechanical treatments, which interact with the stone, are often not adequate for historical building as they are very aggressive",What type of treatments are not ideal for historical building?
"in recent times, new methods and eco friendly or low impact procedures are being perfected to reduce the health risks for the individuals involved in restoration, visitors, and the environment",What is being perfected to reduce the health risks for the environment?
"these methods incorporate both cleaning procedures to remove patinas and biocidal treatments to kill colonizing organisms [54,55]",how to remove patinas and biocidal treatments?
"before using biocides, effective control of water and nutrient availability by and in the material is required; in fact, biocides should only be applied where biodeterioration cannot be controlled and chemical interventions are unavoidable [10]",When should biocides be applied?
"generally, to lower the required concentrations of various type of biocides, a first step in the design of more ecologically friendly solutions may be pre treatment with water repellent coatings",What is the first step in the design of more ecologically friendly solutions?
"moreover, a detailed analysis of the microbial composition colonizing building materials and a species  and site specific calibration of biocidal strategies is necessary to select the best biocide or coating to use, thus avoiding non essential compounds and their release into the environment [55,56,57]",What is necessary to select the best biocide or coating to use?
a good solution to improve the efficiency of biocide treatments and to avoid the environmental risks associated with their possible toxicity was studied by zuena et al. [58],who studied the potential toxicity of biocide treatments?
"the researchers applied on four different type of stones (brick, mortar, travertine, and carrara marble) a novel coating charged with an eco friendly biocide, the zosteric sodium salt, encapsulated into two silica nanocontainers and dispersed into a tetraethoxysilane based (teos) coating also containing tio2 nanoparticles",How many different types of stones did researchers apply on?
"this formulation showed hydrophobic and biocide properties, based on the reduction in the capillary water absorption coefficient and the decrease in microorganism adhesion on cell surfaces at non toxic concentrations, respectively",the reduction in the capillary water absorption coefficient and the decrease in microorganism adhesion
"referring to lichens, for foliose and fruticose ones, the mechanical removal of the lichen thalli is performed as they do not adhere strongly to the substrate",How is the mechanical removal of the lichen thalli performed?
"for crust like lichens, instead, the removal of the thallus which penetrates deeply into the stone requires the use of hard brushes and considerable washing with water and detergents",How do you remove the thallus from a crust?
"however, this method causes the dispersion of spores and increased stone loss, so it becomes necessary to employ biocides. the application of these products is performed by spraying, avoiding windy and rainy days, or brushing, preferably on non friable surfaces",how do you use biocides?
"several authors recommend the use of quaternary ammonia salts applied with a low pressure spray, choosing the correct concentration in relation to the porosity of the substrate [14]",How many authors recommend the use of quaternary ammonia salts?
"while damage caused by micro organisms is often hardly noticeable, damage caused by vascular plants is more visible and severe, depending on the extent of the growth rate and biological form of the plant",Is damage caused by micro organisms more or less visible than the damage to vascular plants?
"decay is caused by the aerial part, but mainly by the roots, as they deepen into the structure and grow to a large size, causing physical and chemical issues",What part of a tree is the decay caused by?
"roots secrete substances that attack building materials, and in the course of their growth, they open cracks, cause crumbling, and loosen stones and large fragments in the wall [13]. according to almeida et al",How do roots break down a wall?
"according to almeida et al. [61], trees and shrubs such as ailanthus altissima, capparis spinosa, clematis vitalba, ficus carica, hedera helix, and rubus ulmifolius are typically more destructive than herbaceous plants such as mercurialis annua, parietaria diffusa, and sonchus tenerrimus",What type of plants are more destructive than herbaceous plants?
"aesthetically, hedera helix is very attractive, but creates many difficulties: the fruit is eaten by birds and the seeds germinate in many microsites; if the plant grows as a liana, the weight damages the surfaces; if the plant germinates and grows in the wall, there is additionally the destructive action of the roots","If the plant grows as a liana, what damages the surfaces?"
"moreover, the most destructive plants are those with vegetative reproduction, since stolons and rhizomes cause the infesting plants to increase in size and propagate over large areas [13]",Which type of reproduction is most destructive?
"during maintenance operations on historic buildings and archaeological sites, cleaning operations must be combined to remove colonizing vegetation, because their frequency or absence influences the type and degree of colonization by the plants",why do cleaning operations need to be combined to remove colonizing vegetation?
"there are many control methods to reduce or avoid the risk of colonization, which depends on the type of plant, the structure of the building, its state of conservation, and its location",How many control methods are there to reduce or avoid the risk of colonization?
"for herbaceous plants, the surest method of control with long term advantages is the total removal of the plants, including their roots, and thereafter filling the cracks so that other seeds do not germinate in them",what is a surest way to control herbaceous plants?
"however, this method has limitations for ligneous plants due to the difficulty of removing the roots, and when the walls are impervious or very high",Why does this method have limitations for ligneous plants?
"in this way, more complex methods must be used, including killing the plant with chemicals, or, if the position of the plant in the building permits, removing stones, extirpating the roots, and rebuilding",How do you rebuild a plant?
"chemical herbicides are more efficient than manual weeding, but their application depends on environmental (climate, chemical, and physical properties of materials, etc.) and toxicological aspects (toxicity, volatility, and biodegradability)",Chemical herbicides are more efficient than what other type of weeding?
") and toxicological aspects (toxicity, volatility, and biodegradability). obviously, chemicals should not be used indiscriminately in towns as problems of elimination could arise with already polluted air [13]",Chemical aspects of toxicology include what?
"obviously, chemicals should not be used indiscriminately in towns as problems of elimination could arise with already polluted air [13].“sugaring” or granural disaggregation of marble crystals appears on surface areas directly exposed to rain fall",Is it safe to use chemicals in towns?
"“sugaring” or granural disaggregation of marble crystals appears on surface areas directly exposed to rain fall. the rainwater acidified by carbon dioxide, sulphur dioxide and nitrogen oxides from the air pollution slowly dissolves the marble",what is it called when granural plates of marble crystals are exposed to rain fall?
"the rainwater acidified by carbon dioxide, sulphur dioxide and nitrogen oxides from the air pollution slowly dissolves the marble. this damage is evident in the effect on the marble crystals, leading to the loss of their cohesion and ultimately in their falling off",what is the name of the element that dissolves the marble?
